Time,AccelerometerX,AccelerometerY,AccelerometerZ 
2.87946,1.412,-9.601,0.458
2.889392,1.412,-9.716,0.438
2.899308,1.373,-9.757,-0.008
2.909224,1.294,-9.823,0.14
2.91914,1.255,-9.866,-0.067
2.929056,1.177,-9.871,-0.267
2.938972,1.098,-9.917,-0.235
2.948888,1.059,-9.882,-0.428
2.958804,1.02,-9.882,-0.428
2.96872,0.981,-9.823,-0.537
2.978636,0.981,-9.81,-0.614
2.988552,0.941,-9.778,-0.569
2.998468,0.902,-9.758,-0.685
3.008384,0.902,-9.81,-0.614
3.0183,0.902,-9.776,-0.808
3.028191,0.824,-9.769,-0.846
3.038082,0.863,-9.839,-0.898
3.047973,0.863,-9.833,-0.937
3.057864,0.902,-9.798,-1.13
3.067755,0.863,-9.805,-1.092
3.077646,0.902,-9.83,-1.176
3.087537,0.863,-9.817,-1.253
3.097428,0.863,-9.842,-1.337
3.107319,0.863,-9.835,-1.376
3.11721,0.863,-9.783,-1.446
3.127101,0.785,-9.789,-1.407
3.136992,0.745,-9.758,-1.362
3.146883,0.667,-9.653,-1.503
3.156774,0.745,-9.667,-1.426
3.166662,0.667,-9.66,-1.464
3.17655,0.51,-9.621,-1.457
3.186438,0.431,-9.542,-1.682
3.196326,0.314,-9.653,-1.503
3.206214,0.314,-9.73,-1.517
3.216102,0.235,-9.762,-1.562
3.22599,0.157,-9.826,-1.653
3.235878,0.118,-9.903,-1.667
3.245766,0.078,-9.935,-1.712
3.255654,0.039,-9.953,-1.835
3.265542,0.078,-9.946,-1.873
3.27543,0.078,-9.939,-1.912
3.285318,0.118,-9.953,-1.835
3.295208,0.157,-9.901,-1.905
3.305098,0.157,-9.733,-1.955
3.314988,0.235,-9.849,-1.976
3.324878,0.235,-9.758,-2.039
3.334768,0.275,-9.771,-1.962
3.344658,0.235,-9.705,-2.11
3.354548,0.196,-9.739,-1.916
3.364438,0.118,-9.726,-1.994
3.374328,0.039,-9.778,-1.923
3.384218,0.039,-9.785,-1.885
3.394108,0.039,-9.81,-1.969
3.403998,-0.039,-9.803,-2.007
3.413888,0.0,-9.803,-2.007
3.423773,-0.039,-9.751,-2.078
3.433658,-0.039,-9.785,-1.885
3.443543,-0.039,-9.758,-2.039
3.453428,-0.118,-9.765,-2.001
3.463313,-0.118,-9.724,-2.232
3.473198,-0.118,-9.751,-2.078
3.483083,-0.118,-9.817,-1.93
3.492968,-0.157,-9.828,-2.091
3.502853,-0.157,-9.86,-2.137
3.512738,-0.157,-9.853,-2.176
3.522623,-0.157,-9.892,-2.182
3.532508,-0.235,-9.899,-2.144
3.542393,-0.275,-9.846,-2.214
3.552278,-0.235,-9.867,-2.098
3.562141,-0.275,-9.86,-2.137
3.572004,-0.275,-9.821,-2.13
